nombres,apellidos,correo_institucional,telefono
Rolfe,Habden,rolfe.habden64@urosario.edu.co,3700430498
Yolanda,Bielfeld,yolanda.bielfeld65@urosario.edu.co,3999698943
Frankie,Admans,frankie.admans66@urosario.edu.co,3749692203
Nataniel,Cracoe,nataniel.cracoe67@urosario.edu.co,3480152372
Dun,McGlynn,dun.mcglynn68@urosario.edu.co,3361202082
Alphard,Halliburton,alphard.halliburton69@urosario.edu.co,3583199244
Neysa,Dumsday,neysa.dumsday70@urosario.edu.co,3273316692
Wilburt,Lafrentz,wilburt.lafrentz71@urosario.edu.co,3995154387
Marjie,Ricciardello,marjie.ricciardello72@urosario.edu.co,3450899705
Tucker,Calleja,tucker.calleja73@urosario.edu.co,3205909014
Leese,Guidi,leese.guidi74@urosario.edu.co,3402148397
Haywood,Merrick,haywood.merrick75@urosario.edu.co,3538182589
Ody,Routley,ody.routley76@urosario.edu.co,3290260846
Anne-marie,Hawthorne,anne-marie.hawthorne77@urosario.edu.co,3081166202
Tory,Ramsden,tory.ramsden78@urosario.edu.co,3400863232
Gabbie,Hollerin,gabbie.hollerin79@urosario.edu.co,3296216090
Dorotea,Coda,dorotea.coda80@urosario.edu.co,3189002646
Chevy,Siderfin,chevy.siderfin81@urosario.edu.co,3847671066
Jerald,Lambourn,jerald.lambourn82@urosario.edu.co,3206730848
Dulce,Ridsdole,dulce.ridsdole83@urosario.edu.co,3448755899
Shannan,Blune,shannan.blune84@urosario.edu.co,3714857510
Filmore,Grimwade,filmore.grimwade85@urosario.edu.co,3000255372
Ermina,Doick,ermina.doick86@urosario.edu.co,3924100021
Allix,Ludye,allix.ludye87@urosario.edu.co,3132521626
Verney,Lummis,verney.lummis88@urosario.edu.co,3482204561
Justino,Leddy,justino.leddy89@urosario.edu.co,3748748021
Hakim,Maymand,hakim.maymand90@urosario.edu.co,3597179465
Tarrah,Castaner,tarrah.castaner91@urosario.edu.co,3537674400
Kathie,Hirche,kathie.hirche92@urosario.edu.co,3169940231
Laurie,Lloyd,laurie.lloyd93@urosario.edu.co,3058451376
Fancy,Yorke,fancy.yorke94@urosario.edu.co,3351337551
Nye,Giovannazzi,nye.giovannazzi95@urosario.edu.co,3683260449
Sayre,Bayles,sayre.bayles96@urosario.edu.co,3724201038
Miranda,Janiszewski,miranda.janiszewski97@urosario.edu.co,3895598027
Lemmie,Bennellick,lemmie.bennellick98@urosario.edu.co,3754556587
Gardener,Saice,gardener.saice99@urosario.edu.co,3299420450
Recipe Book Stand,Integer a nibh. 255795 45,false@urosario.edu.co,2
